"GEO_ID","NAME","B03002_001E","B03002_001M","B03002_002E","B03002_002M","B03002_003E","B03002_003M","B03002_004E","B03002_004M","B03002_005E","B03002_005M","B03002_006E","B03002_006M","B03002_007E","B03002_007M","B03002_008E","B03002_008M","B03002_009E","B03002_009M","B03002_010E","B03002_010M","B03002_011E","B03002_011M","B03002_012E","B03002_012M","B03002_013E","B03002_013M","B03002_014E","B03002_014M","B03002_015E","B03002_015M","B03002_016E","B03002_016M","B03002_017E","B03002_017M","B03002_018E","B03002_018M","B03002_019E","B03002_019M","B03002_020E","B03002_020M","B03002_021E","B03002_021M"
"id","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Not Hispanic or Latino:","Margin of Error!!Total:!!Not Hispanic or Latino:","Estimate!!Total:!!Not Hispanic or Latino:!!White alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!White alone","Estimate!!Total:!!Not Hispanic or Latino:!!Black or African American alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Black or African American alone","Estimate!!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone","Estimate!!Total:!!Not Hispanic or Latino:!!Asian alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Asian alone","Estimate!!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Not Hispanic or Latino:!!Some other race alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Some other race alone","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Estimate!!Total:!!Hispanic or Latino:","Margin of Error!!Total:!!Hispanic or Latino:","Estimate!!Total:!!Hispanic or Latino:!!White alone","Margin of Error!!Total:!!Hispanic or Latino:!!White alone","Estimate!!Total:!!Hispanic or Latino:!!Black or African American alone","Margin of Error!!Total:!!Hispanic or Latino:!!Black or African American alone","Estimate!!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone","Estimate!!Total:!!Hispanic or Latino:!!Asian alone","Margin of Error!!Total:!!Hispanic or Latino:!!Asian alone","Estimate!!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Hispanic or Latino:!!Some other race alone","Margin of Error!!Total:!!Hispanic or Latino:!!Some other race alone","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races"
"0500000US06001","Alameda County, California","1656754","*****","1285735","*****","520447","487","171168","1541","5210","310","496006","2088","13277","397","5407","852","74220","2515","4091","530","70129","2411","371019","*****","149917","4200","4583","656","5910","893","3376","569","623","181","173837","4242","32773","1822","16655","1275","16118","1291"
"0500000US06003","Alpine County, California","1039","161","909","128","551","118","9","22","314","47","10","16","0","12","0","12","25","19","0","12","25","19","130","67","48","31","0","12","39","44","0","12","6","12","9","22","28","32","0","12","28","32"
"0500000US06005","Amador County, California","38429","*****","33089","*****","30035","34","848","107","249","86","477","135","52","46","10","13","1418","226","22","33","1396","228","5340","*****","3292","348","56","32","54","58","31","32","5","9","1490","340","412","167","106","70","306","159"
"0500000US06007","Butte County, California","225817","*****","188901","*****","162537","240","3342","347","1699","292","10057","573","476","151","321","191","10469","813","301","230","10168","781","36916","*****","21643","1150","119","99","917","274","375","210","127","110","10433","1177","3302","642","1705","436","1597","415"
"0500000US06009","Calaveras County, California","45514","*****","40025","*****","36837","99","315","157","184","113","684","146","19","21","55","64","1931","260","61","75","1870","256","5489","*****","4336","337","0","26","169","127","0","26","0","26","553","272","431","248","62","68","369","237"
"0500000US06011","Colusa County, California","21454","*****","8716","*****","7576","23","256","45","143","67","273","79","38","30","36","45","394","112","0","23","394","112","12738","*****","11373","405","71","73","82","78","36","62","0","23","961","374","215","119","26","37","189","116"
"0500000US06013","Contra Costa County, California","1142251","*****","849953","*****","500592","537","95892","1240","2278","322","188237","1851","5297","369","3657","700","54000","2120","1848","432","52152","2013","292298","*****","137312","4358","3750","704","3228","729","2746","583","334","211","120972","4094","23956","1800","12811","1483","11145","1148"
"0500000US06015","Del Norte County, California","27495","*****","22066","*****","17028","197","899","132","1943","248","862","148","44","34","176","192","1114","331","19","30","1095","327","5429","*****","3553","418","41","47","43","33","26","29","0","23","1144","279","622","282","374","240","248","129"
"0500000US06017","El Dorado County, California","188563","*****","164364","*****","146747","230","1426","162","1031","307","8487","452","472","105","295","238","5906","573","112","68","5794","570","24199","*****","18487","816","90","72","501","264","53","45","14","21","3697","730","1357","406","638","279","719","245"
"0500000US06019","Fresno County, California","984521","*****","462157","*****","289650","412","44209","1047","4651","567","99480","1025","1207","204","1732","641","21228","1636","851","318","20377","1614","522364","*****","350335","4319","2573","419","7005","1257","2377","498","413","347","140505","4458","19156","1538","8391","888","10765","1206"
"0500000US06021","Glenn County, California","27976","*****","16296","*****","14398","4","193","109","391","96","825","249","11","13","0","23","478","187","2","4","476","187","11680","*****","8287","700","37","48","291","179","0","23","0","23","2898","707","167","93","70","52","97","71"
"0500000US06023","Humboldt County, California","135940","*****","120218","*****","101078","161","1336","177","6264","569","4073","320","432","121","177","141","6858","675","56","82","6802","674","15722","*****","7479","811","170","106","582","204","123","118","56","84","5530","779","1782","469","531","268","1251","416"
"0500000US06025","Imperial County, California","180701","*****","28529","*****","19228","93","3882","302","1104","155","2367","187","240","159","114","93","1594","364","11","14","1583","366","152172","*****","98430","2936","607","305","808","310","313","174","69","75","47025","2739","4920","876","2866","635","2054","692"
"0500000US06027","Inyo County, California","17977","*****","13957","*****","11173","33","141","39","1828","83","325","80","34","4","35","33","421","114","1","2","420","113","4020","*****","2997","267","12","21","200","89","25","35","0","19","357","179","429","197","231","170","198","177"
"0500000US06029","Kern County, California","887641","*****","414267","*****","303225","285","45761","805","4303","527","40730","998","1115","164","873","332","18260","1336","1424","621","16836","1292","473374","*****","356922","4572","2789","675","4666","1200","1370","443","563","426","94292","4446","12772","1334","7289","1068","5483","962"
"0500000US06031","Kings County, California","150691","*****","68575","*****","48537","179","8779","482","1282","111","5565","391","241","97","239","180","3932","621","111","120","3821","600","82116","*****","53525","2036","863","426","1149","355","252","176","36","44","24080","2011","2211","562","979","342","1232","439"
"0500000US06033","Lake County, California","64195","*****","50971","*****","45258","12","1331","163","1926","218","684","196","42","40","111","146","1619","371","18","19","1601","371","13224","*****","4131","774","116","111","384","238","39","46","0","29","7798","919","756","426","322","186","434","355"
"0500000US06035","Lassen County, California","30818","*****","24974","*****","20164","24","2612","96","844","89","427","71","247","50","45","41","635","128","53","53","582","132","5844","*****","5160","183","74","62","20","16","1","3","0","26","465","148","124","60","65","45","59","46"
"0500000US06037","Los Angeles County, California","10081570","*****","5193136","*****","2641770","1343","790252","2958","20831","1021","1454769","3676","24597","752","32413","2235","228504","5193","12628","1192","215876","4867","4888434","*****","2526673","20454","30226","1992","52562","3040","18452","1143","3123","567","2083135","21995","174263","4915","103325","3658","70938","2605"
"0500000US06039","Madera County, California","155433","*****","65635","*****","53053","149","4770","276","1546","231","3020","230","141","78","250","191","2855","450","199","116","2656","435","89798","*****","55047","2444","179","130","943","508","209","144","35","51","31179","2393","2206","484","1433","431","773","272"
"0500000US06041","Marin County, California","259943","*****","218416","*****","184960","534","5527","498","438","125","15110","454","249","122","2345","613","9787","736","339","186","9448","737","41527","*****","17353","1712","240","209","473","334","257","96","322","421","19913","1607","2969","564","1478","453","1491","404"
"0500000US06043","Mariposa County, California","17420","*****","15457","*****","13935","56","253","51","325","124","210","91","53","56","12","21","669","169","35","54","634","165","1963","*****","1467","131","0","19","7","13","0","19","0","19","403","137","86","57","10","15","76","57"
"0500000US06045","Mendocino County, California","87224","*****","65326","*****","56857","45","626","108","2938","305","1773","112","165","45","51","42","2916","339","24","28","2892","334","21898","*****","16078","1040","2","4","880","452","32","32","0","29","3532","825","1374","418","272","152","1102","378"
"0500000US06047","Merced County, California","271382","*****","109568","*****","75037","140","7812","432","931","203","19650","528","607","183","226","127","5305","748","193","118","5112","727","161814","*****","74397","3097","833","407","1570","501","699","296","47","44","78509","3108","5759","997","3930","748","1829","577"
"0500000US06049","Modoc County, California","8907","*****","7616","*****","6920","6","136","26","372","123","99","119","9","8","3","6","77","42","0","17","77","42","1291","*****","1056","111","0","17","0","17","0","17","0","17","108","80","127","102","43","47","84","76"
"0500000US06051","Mono County, California","14310","*****","10445","*****","9308","148","59","70","242","70","363","257","0","19","96","148","377","265","0","19","377","265","3865","*****","2613","542","52","52","255","169","4","8","0","19","786","438","155","162","89","137","66","78"
"0500000US06053","Monterey County, California","433410","*****","179116","*****","129738","208","10737","335","819","216","23348","591","1982","116","561","224","11931","740","307","159","11624","742","254294","*****","101254","3917","630","213","2174","594","978","406","153","149","142480","4069","6625","860","3308","607","3317","561"
"0500000US06055","Napa County, California","139623","*****","92079","*****","73210","212","2780","153","407","172","11196","338","284","91","526","210","3676","453","207","101","3469","439","47544","*****","29257","1542","103","72","789","496","156","108","17","20","15518","1592","1704","470","809","242","895","381"
"0500000US06057","Nevada County, California","99244","*****","89871","*****","84513","107","478","151","413","220","1043","225","124","44","98","100","3202","339","45","44","3157","336","9373","*****","7213","531","92","121","310","273","30","34","0","29","1156","473","572","327","111","104","461","321"
"0500000US06059","Orange County, California","3168044","*****","2089318","*****","1285855","1000","51269","1081","6116","647","642948","2403","8928","499","6032","955","88170","2788","4409","728","83761","2733","1078726","*****","645408","7821","4322","755","8308","1151","6094","713","1224","348","371531","8352","41839","2436","21290","1705","20549","1591"
"0500000US06061","Placer County, California","385512","*****","331543","*****","280105","169","6361","440","1373","213","28573","685","566","132","391","172","14174","890","426","182","13748","877","53969","*****","36611","1407","265","108","679","288","336","154","292","365","10967","1179","4819","655","1931","402","2888","461"
"0500000US06063","Plumas County, California","18660","*****","16990","*****","15514","145","141","142","268","140","212","72","86","83","94","145","675","228","0","19","675","228","1670","*****","1341","126","25","40","14","23","10","15","0","19","201","103","79","50","18","24","61","49"
"0500000US06065","Riverside County, California","2411439","*****","1231961","*****","851702","892","147160","1619","10362","834","152347","1503","6471","537","5936","979","57983","2486","2296","524","55687","2475","1179478","*****","592952","10158","9676","1369","9403","1279","4914","737","1014","338","513186","11136","48333","2898","27833","2124","20500","1858"
"0500000US06067","Sacramento County, California","1524553","*****","1171235","*****","681829","1010","144695","1853","5554","490","235434","2024","17026","513","5074","1216","81623","2609","2566","650","79057","2419","353318","*****","192076","3911","5196","787","4557","749","4013","560","374","157","114848","3309","32254","1973","14918","1175","17336","1313"
"0500000US06069","San Benito County, California","60376","*****","24295","*****","20703","52","454","80","186","113","1754","172","36","23","101","75","1061","211","70","52","991","213","36081","*****","28542","1115","37","48","257","131","50","49","21","24","5037","959","2137","490","815","306","1322","449"
"0500000US06071","San Bernardino County, California","2149031","*****","1003157","*****","613066","544","169340","1904","7783","661","150165","1552","6160","530","3624","716","53019","2826","2790","647","50229","2713","1145874","*****","702172","7682","9952","1320","9999","1478","4167","772","678","288","364976","6810","53930","3220","28871","2154","25059","2013"
"0500000US06073","San Diego County, California","3316073","*****","2198556","*****","1510756","943","156084","2085","12474","896","385657","2443","12747","726","6560","1069","114278","3148","2793","510","111485","3098","1117517","*****","834911","7163","10666","1367","10050","1482","9085","1002","1120","276","192169","5473","59516","3418","26634","1891","32882","2467"
"0500000US06075","San Francisco County, California","874961","*****","741647","*****","354423","401","43782","858","1634","371","298108","1567","2934","364","3626","729","37140","1936","1703","348","35437","1957","133314","*****","51633","2287","1774","418","1589","541","2910","605","254","126","63581","2442","11573","1132","6516","894","5057","629"
"0500000US06077","San Joaquin County, California","742603","*****","435140","*****","236509","252","50030","1071","1697","351","112885","1113","4055","357","956","288","29008","1562","1737","707","27271","1442","307463","*****","182779","4008","1901","502","3009","658","2646","560","510","211","64428","3932","52190","2770","7155","858","45035","2711"
"0500000US06079","San Luis Obispo County, California","282165","*****","218631","*****","194375","177","4909","420","1510","246","9969","426","265","109","400","173","7203","703","208","95","6995","688","63534","*****","46748","1495","410","212","948","503","327","145","0","29","11867","1470","3234","600","1374","315","1860","509"
"0500000US06081","San Mateo County, California","767423","*****","580175","*****","301123","494","16718","574","1158","254","217287","1349","10092","436","3012","564","30785","1620","1904","613","28881","1546","187248","*****","87195","3793","1066","262","1844","459","2864","568","274","126","81298","3652","12707","1251","6322","989","6385","701"
"0500000US06083","Santa Barbara County, California","444829","*****","242992","*****","197993","222","8409","418","1601","309","23882","548","387","127","603","214","10117","789","321","141","9796","762","201837","*****","146785","3131","575","198","3043","796","967","336","194","153","41838","2939","8435","1067","3397","742","5038","804"
"0500000US06085","Santa Clara County, California","1927470","*****","1436492","*****","607903","840","45259","925","3366","402","699290","2061","6229","499","5505","922","68940","2148","3686","743","65254","2124","490978","*****","249189","5019","2733","453","6331","856","3591","528","1042","376","196889","5246","31203","1895","15439","1268","15764","1358"
"0500000US06087","Santa Cruz County, California","273962","*****","181982","*****","156897","200","2491","266","401","153","12504","441","198","94","601","203","8890","532","230","119","8660","530","91980","*****","47969","2821","413","186","1104","374","630","302","139","110","37529","2832","4196","644","1944","463","2252","481"
"0500000US06089","Shasta County, California","179212","*****","161237","*****","143013","166","2030","227","3912","455","5745","357","244","119","178","108","6115","645","181","115","5934","640","17975","*****","12111","726","58","46","920","272","53","51","10","14","3429","656","1394","365","693","265","701","236"
"0500000US06091","Sierra County, California","3040","161","2716","129","2662","119","2","5","29","33","0","12","0","12","0","12","23","21","0","12","23","21","324","65","301","66","0","12","22","29","0","12","0","12","0","12","1","3","0","12","1","3"
"0500000US06093","Siskiyou County, California","43468","*****","38001","*****","33081","43","684","99","1389","176","696","104","124","55","51","50","1976","233","26","15","1950","233","5467","*****","3766","253","11","18","229","82","12","11","33","35","585","175","831","188","265","148","566","158"
"0500000US06095","Solano County, California","441829","*****","324960","*****","168060","432","59652","986","1254","259","66247","961","3911","239","1635","577","24201","1485","795","265","23406","1460","116869","*****","64377","2560","1874","531","961","341","1953","398","190","138","38711","2564","8803","883","3781","542","5022","691"
"0500000US06097","Sonoma County, California","499772","*****","366203","*****","316022","642","7399","519","2343","400","20082","706","1483","259","2239","650","16635","889","507","255","16128","864","133569","*****","57645","2881","870","304","2052","537","361","164","123","65","62392","2987","10126","1058","5307","831","4819","837"
"0500000US06099","Stanislaus County, California","543194","*****","291935","*****","227369","248","15311","489","2481","440","29284","860","3625","307","747","308","13118","1147","769","297","12349","1032","251259","*****","188542","3343","1236","419","1937","463","723","223","336","161","49039","3004","9446","1026","5472","834","3974","737"
"0500000US06101","Sutter County, California","96109","*****","66361","*****","44412","19","1684","189","625","141","14914","541","376","27","148","138","4202","577","108","76","4094","583","29748","*****","21881","928","143","143","253","107","134","77","172","222","4582","691","2583","666","638","219","1945","586"
"0500000US06103","Tehama County, California","63912","*****","47954","*****","43679","15","472","40","890","261","967","130","15","21","11","17","1920","288","13","15","1907","288","15958","*****","11116","934","58","85","365","243","0","29","13","21","3459","842","947","312","525","296","422","192"
"0500000US06105","Trinity County, California","12700","*****","11773","*****","10427","32","127","102","698","172","210","22","28","36","51","33","232","110","1","2","231","109","927","*****","497","198","0","19","18","26","16","27","0","19","377","206","19","26","19","26","0","19"
"0500000US06107","Tulare County, California","461898","*****","163653","*****","131716","669","5785","375","2784","347","14949","635","624","85","1002","684","6793","819","310","153","6483","774","298245","*****","208746","4004","1416","585","3334","705","1741","1379","142","111","73947","3505","8919","1227","5240","917","3679","700"
"0500000US06109","Tuolumne County, California","54045","*****","47428","*****","43341","47","948","106","763","195","732","104","123","33","42","42","1479","268","22","27","1457","266","6617","*****","4106","420","36","40","202","100","22","23","0","29","1364","347","887","285","430","190","457","194"
"0500000US06111","Ventura County, California","847263","*****","485662","*****","384818","308","14297","500","2017","337","60710","992","1421","217","1138","328","21261","1189","652","204","20609","1138","361601","*****","293840","3760","1297","383","4743","1033","1480","435","277","155","43089","2805","16875","1671","6564","925","10311","1266"
"0500000US06113","Yolo County, California","217352","*****","148648","*****","101452","164","5279","442","663","225","30155","818","883","183","362","176","9854","1030","319","140","9535","983","68704","*****","49165","1616","568","403","643","290","307","144","72","64","14144","1549","3805","714","1359","365","2446","633"
"0500000US06115","Yuba County, California","76360","*****","54797","*****","42145","52","2554","320","594","182","5075","301","296","37","136","125","3997","501","57","43","3940","493","21563","*****","15871","899","67","58","342","175","126","118","55","69","3445","777","1657","492","358","182","1299","464"
